arquivo,camada,fonte,data_criacao,data_modificacao,quantidade_linhas,quantidade_colunas,hash_sha256,arquivo_origem,status_validacao,versao_pipeline
data/raw/demografia/ibge_areas_territoriais_2024_20260728T130707-0300.xls,raw,IBGE,2026-07-28T16:07:07.935612+00:00,2026-07-28T16:07:07.935612+00:00,,,61ffd18b4b1ad39e675bc5ebcfdcd874e2467083038216f138ec4248761dbdb0,,inventariado_hash_calculado,0.1.0
data/raw/demografia/ibge_areas_territoriais_2024_20260728T130724-0300.xls,raw,IBGE,2026-07-28T16:07:25.588095+00:00,2026-07-28T16:07:25.589067+00:00,,,61ffd18b4b1ad39e675bc5ebcfdcd874e2467083038216f138ec4248761dbdb0,,inventariado_hash_calculado,0.1.0
data/raw/demografia/ibge_municipios_rj_20260728T123936-0300.json,raw,IBGE,2026-07-28T15:39:37.733029+00:00,2026-07-28T15:39:37.734031+00:00,,,9259126c654f7825fe7228a8070bb1775b4a5f6f283ea2b33738c588c6991c12,,inventariado_hash_calculado,0.1.0
data/raw/demografia/ripsa_form_populacao_20260728T125939-0300.html,raw,RIPSA/SES-RJ,2026-07-28T15:59:39.807878+00:00,2026-07-28T15:59:39.808570+00:00,,,fce837c1cb844c31120014d5da542f8be4b052bf232560dfb8b5524fa46d6412,,inventariado_hash_calculado,0.1.0
data/raw/demografia/ripsa_form_populacao_20260728T130007-0300.html,raw,RIPSA/SES-RJ,2026-07-28T16:00:07.931835+00:00,2026-07-28T16:00:07.931835+00:00,,,fce837c1cb844c31120014d5da542f8be4b052bf232560dfb8b5524fa46d6412,,inventariado_hash_calculado,0.1.0
data/raw/demografia/ripsa_form_populacao_20260728T131749-0300.html,raw,RIPSA/SES-RJ,2026-07-28T16:17:50.647615+00:00,2026-07-28T16:17:50.647615+00:00,,,fce837c1cb844c31120014d5da542f8be4b052bf232560dfb8b5524fa46d6412,,inventariado_hash_calculado,0.1.0
data/raw/demografia/ripsa_populacao_2020_2024_20260728T131749-0300.html,raw,RIPSA/SES-RJ,2026-07-28T16:17:55.071263+00:00,2026-07-28T16:17:55.071263+00:00,,,7518e6caaf20977c4f6532be8b9e5f430d17b52c7300a27ca2ee5f2b880bc1c2,,inventariado_hash_calculado,0.1.0
data/raw/demografia/ripsa_populacao_2020_20260728T125939-0300.csv,raw,RIPSA/SES-RJ,2026-07-28T15:59:40.881527+00:00,2026-07-28T15:59:40.881527+00:00,93,1,fbc60d5c16b51b346b5787f3a8840ba9fe009c992c8c8da8d246e8d4ce40d9e0,,inventariado_hash_calculado,0.1.0
data/raw/demografia/ripsa_populacao_2020_20260728T130007-0300.csv,raw,RIPSA/SES-RJ,2026-07-28T16:00:08.976394+00:00,2026-07-28T16:00:08.977393+00:00,93,1,fbc60d5c16b51b346b5787f3a8840ba9fe009c992c8c8da8d246e8d4ce40d9e0,,inventariado_hash_calculado,0.1.0
data/raw/demografia/ripsa_populacao_2021_20260728T130007-0300.csv,raw,RIPSA/SES-RJ,2026-07-28T16:00:10.331983+00:00,2026-07-28T16:00:10.331983+00:00,93,1,6da1d9a5d381f781915bcfcf080812048ee484bb2244b89ff542e9a9522e5b46,,inventariado_hash_calculado,0.1.0
data/raw/demografia/ripsa_populacao_2022_20260728T130007-0300.csv,raw,RIPSA/SES-RJ,2026-07-28T16:00:11.518421+00:00,2026-07-28T16:00:11.519928+00:00,93,1,81d98e13856f5d899cd0bc3cc2af7a14e31699018402e47b95610a834745882c,,inventariado_hash_calculado,0.1.0
