id_coleta,fonte,sistema,descricao_base,url_origem,endpoint,metodo_http,arquivo_bruto,formato_arquivo,data_referencia_inicial,data_referencia_final,data_atualizacao_fonte,data_hora_coleta,parametros_requisicao,filtros_selecionados,opcoes_selecionadas,codigo_http,status_coleta,quantidade_registros,hash_sha256,versao_coletor,observacoes
ibge_municipios_rj_20260728T123936-0300,IBGE,API de Localidades,Municípios do Estado do Rio de Janeiro,https://servicodados.ibge.gov.br/api/v1/localidades/estados/33/municipios,https://servicodados.ibge.gov.br/api/v1/localidades/estados/33/municipios,GET,data\raw\demografia\ibge_municipios_rj_20260728T123936-0300.json,json,,,,2026-07-28T12:39:36.287126-03:00,{},"{""codigo_uf"": ""33""}",{},200,sucesso,92,9259126c654f7825fe7228a8070bb1775b4a5f6f283ea2b33738c588c6991c12,0.1.0,Identificadores oficiais da API de Localidades do IBGE.
ripsa_populacao_2020_20260728T130007-0300,RIPSA/SES-RJ,TabNet SES-RJ,População residente estimada por município,https://sistemas.saude.rj.gov.br/tabnetbd/dhx.exe?populacao/pop_populacao_ripsa2024.def,https://sistemas.saude.rj.gov.br/tabnetbd/webtabx.exe,POST,data\raw\demografia\ripsa_populacao_2020_20260728T130007-0300.csv,csv,2020,2020,,2026-07-28T13:00:07.288134-03:00,"{""ano"": 2020}","{""municipio"": ""todas_as_categorias""}","{""linha"": ""Município com código"", ""coluna"": ""Ano"", ""medida"": ""População estimada""}",200,sucesso,92,fbc60d5c16b51b346b5787f3a8840ba9fe009c992c8c8da8d246e8d4ce40d9e0,0.2.0,CSV gerado pelo link de exportação do resultado TabNet.
ripsa_populacao_2021_20260728T130007-0300,RIPSA/SES-RJ,TabNet SES-RJ,População residente estimada por município,https://sistemas.saude.rj.gov.br/tabnetbd/dhx.exe?populacao/pop_populacao_ripsa2024.def,https://sistemas.saude.rj.gov.br/tabnetbd/webtabx.exe,POST,data\raw\demografia\ripsa_populacao_2021_20260728T130007-0300.csv,csv,2021,2021,,2026-07-28T13:00:07.288134-03:00,"{""ano"": 2021}","{""municipio"": ""todas_as_categorias""}","{""linha"": ""Município com código"", ""coluna"": ""Ano"", ""medida"": ""População estimada""}",200,sucesso,92,6da1d9a5d381f781915bcfcf080812048ee484bb2244b89ff542e9a9522e5b46,0.2.0,CSV gerado pelo link de exportação do resultado TabNet.
ripsa_populacao_2022_20260728T130007-0300,RIPSA/SES-RJ,TabNet SES-RJ,População residente estimada por município,https://sistemas.saude.rj.gov.br/tabnetbd/dhx.exe?populacao/pop_populacao_ripsa2024.def,https://sistemas.saude.rj.gov.br/tabnetbd/webtabx.exe,POST,data\raw\demografia\ripsa_populacao_2022_20260728T130007-0300.csv,csv,2022,2022,,2026-07-28T13:00:07.288134-03:00,"{""ano"": 2022}","{""municipio"": ""todas_as_categorias""}","{""linha"": ""Município com código"", ""coluna"": ""Ano"", ""medida"": ""População estimada""}",200,sucesso,92,81d98e13856f5d899cd0bc3cc2af7a14e31699018402e47b95610a834745882c,0.2.0,CSV gerado pelo link de exportação do resultado TabNet.
ripsa_populacao_2023_20260728T130007-0300,RIPSA/SES-RJ,TabNet SES-RJ,População residente estimada por município,https://sistemas.saude.rj.gov.br/tabnetbd/dhx.exe?populacao/pop_populacao_ripsa2024.def,https://sistemas.saude.rj.gov.br/tabnetbd/webtabx.exe,POST,data\raw\demografia\ripsa_populacao_2023_20260728T130007-0300.csv,csv,2023,2023,,2026-07-28T13:00:07.288134-03:00,"{""ano"": 2023}","{""municipio"": ""todas_as_categorias""}","{""linha"": ""Município com código"", ""coluna"": ""Ano"", ""medida"": ""População estimada""}",200,sucesso,92,5527b36fac20c4198d26feda873418d6d3a5375e42a32252faf85fe38152f547,0.2.0,CSV gerado pelo link de exportação do resultado TabNet.
ripsa_populacao_2024_20260728T130007-0300,RIPSA/SES-RJ,TabNet SES-RJ,População residente estimada por município,https://sistemas.saude.rj.gov.br/tabnetbd/dhx.exe?populacao/pop_populacao_ripsa2024.def,https://sistemas.saude.rj.gov.br/tabnetbd/webtabx.exe,POST,data\raw\demografia\ripsa_populacao_2024_20260728T130007-0300.csv,csv,2024,2024,,2026-07-28T13:00:07.288134-03:00,"{""ano"": 2024}","{""municipio"": ""todas_as_categorias""}","{""linha"": ""Município com código"", ""coluna"": ""Ano"", ""medida"": ""População estimada""}",200,sucesso,92,43d48353af5455c191fdf644f384ae4c3b5cda5d24b7407e88baa46776f925b1,0.2.0,CSV gerado pelo link de exportação do resultado TabNet.
ibge_areas_2024_20260728T130724-0300,IBGE,Áreas Territoriais,Áreas territoriais municipais 2024,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/areas_territoriais/2024/AR_BR_RG_UF_RGINT_RGI_MUN_2024.xls,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/areas_territoriais/2024/AR_BR_RG_UF_RGINT_RGI_MUN_2024.xls,GET,data\raw\demografia\ibge_areas_territoriais_2024_20260728T130724-0300.xls,xls,2024,2024,,2026-07-28T13:07:24.801454-03:00,,,,200,sucesso,92,61ffd18b4b1ad39e675bc5ebcfdcd874e2467083038216f138ec4248761dbdb0,0.1.0,Planilha AR_BR_MUN_2024; documentação: https://www.ibge.gov.br/geociencias/organizacao-do-territorio/malhas-territoriais/15761-areas-dos-municipios.html?edicao=43130
ibge_areas_2024_20260728T130707-0300,IBGE,Áreas Territoriais,Áreas territoriais municipais 2024,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/areas_territoriais/2024/AR_BR_RG_UF_RGINT_RGI_MUN_2024.xls,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/areas_territoriais/2024/AR_BR_RG_UF_RGINT_RGI_MUN_2024.xls,GET,data\raw\demografia\ibge_areas_territoriais_2024_20260728T130707-0300.xls,xls,2024,2024,,2026-07-28T13:07:07.935612-03:00,,,,200,download_sucesso_processamento_falhou,,61ffd18b4b1ad39e675bc5ebcfdcd874e2467083038216f138ec4248761dbdb0,0.1.0,Bruto preservado; primeira tentativa falhou antes da normalização dos códigos. Documentação: https://www.ibge.gov.br/geociencias/organizacao-do-territorio/malhas-territoriais/15761-areas-dos-municipios.html?edicao=43130
ripsa_populacao_2020_2024_20260728T131749-0300,RIPSA/SES-RJ,TabNet SES-RJ,População residente estimada por município,https://sistemas.saude.rj.gov.br/tabnetbd/dhx.exe?populacao/pop_populacao_ripsa2024.def,https://sistemas.saude.rj.gov.br/tabnetbd/webtabx.exe,POST,data\raw\demografia\ripsa_populacao_2020_2024_20260728T131749-0300.html,html,2020,2024,,2026-07-28T13:17:49.017147-03:00,"{""anos"": [2020, 2021, 2022, 2023, 2024]}","{""municipio"": ""todas_as_categorias""}","{""linha"": ""Município com código"", ""coluna"": ""Ano"", ""medida"": ""População estimada""}",200,sucesso,460,7518e6caaf20977c4f6532be8b9e5f430d17b52c7300a27ca2ee5f2b880bc1c2,0.3.0,HTML puro da resposta POST; o CSV oficial foi obtido pelo link 'Salva como CSV' contido nesta resposta.
sinisa_gestao_municipal_2023_20260728T132931-0300,SINISA/Ministério das Cidades,SINISA,Informações e indicadores — gestao_municipal,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa,https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/sinisa/resultados-sinisa/SINISA_GESTAOMUNICIPAL_Informacoes_2023.xlsx,GET,data\raw\saneamento\sinisa\sinisa_gestao_municipal_ref2023_20260728T132931-0300.xlsx,xlsx,2023,2023,,2026-07-28T13:29:31.558376-03:00,{},{},"{""modulo"": ""gestao_municipal""}",200,sucesso,,b08c6fc8fd1f2c3853da21ee7d62a35bcb4df3028f819b9aba59d4b2d63b7457,0.1.0,Produto SINISA 2024 com ano de referência 2023; pacote oficial preservado sem transformação.
